flight_idx,assignment,gate_name
149053,4,LGA_Terminal_C
149054,3,LGA_Terminal_B
149055,0,EWR_Terminal_A
149056,3,LGA_Terminal_B
149057,0,EWR_Terminal_A
149058,0,EWR_Terminal_A
149059,4,LGA_Terminal_C
149060,0,EWR_Terminal_A
149061,3,LGA_Terminal_B
149062,3,LGA_Terminal_B
149063,3,LGA_Terminal_B
149064,0,EWR_Terminal_A
149065,0,EWR_Terminal_A
149066,0,EWR_Terminal_A
149067,0,EWR_Terminal_A
149068,0,EWR_Terminal_A
149069,3,LGA_Terminal_B
149070,4,LGA_Terminal_C
149071,0,EWR_Terminal_A
149072,3,LGA_Terminal_B
149073,3,LGA_Terminal_B
149074,0,EWR_Terminal_A
149075,3,LGA_Terminal_B
149076,4,LGA_Terminal_C
149077,0,EWR_Terminal_A
149078,3,LGA_Terminal_B
149079,0,EWR_Terminal_A
149080,3,LGA_Terminal_B
149081,0,EWR_Terminal_A
149082,0,EWR_Terminal_A
149083,3,LGA_Terminal_B
149084,4,LGA_Terminal_C
149085,4,LGA_Terminal_C
149086,0,EWR_Terminal_A
149087,0,EWR_Terminal_A
149088,0,EWR_Terminal_A
149089,0,EWR_Terminal_A
149090,0,EWR_Terminal_A
149091,0,EWR_Terminal_A
149092,0,EWR_Terminal_A
149093,3,LGA_Terminal_B
149094,3,LGA_Terminal_B
149095,3,LGA_Terminal_B
149096,0,EWR_Terminal_A
149097,1,EWR_Terminal_B
149098,4,LGA_Terminal_C
149099,0,EWR_Terminal_A
149100,3,LGA_Terminal_B
149101,0,EWR_Terminal_A
149102,3,LGA_Terminal_B
149103,3,LGA_Terminal_B
149104,0,EWR_Terminal_A
149105,3,LGA_Terminal_B
149106,0,EWR_Terminal_A
149107,3,LGA_Terminal_B
149108,3,LGA_Terminal_B
149109,3,LGA_Terminal_B
149110,0,EWR_Terminal_A
149111,3,LGA_Terminal_B
149112,3,LGA_Terminal_B
149113,3,LGA_Terminal_B
149114,0,EWR_Terminal_A
149115,0,EWR_Terminal_A
149116,0,EWR_Terminal_A
149117,0,EWR_Terminal_A
149118,4,LGA_Terminal_C
149119,3,LGA_Terminal_B
149120,3,LGA_Terminal_B
149121,3,LGA_Terminal_B
149122,0,EWR_Terminal_A
149123,3,LGA_Terminal_B
149124,4,LGA_Terminal_C
149125,3,LGA_Terminal_B
149126,3,LGA_Terminal_B
149127,3,LGA_Terminal_B
149128,3,LGA_Terminal_B
149129,3,LGA_Terminal_B
149130,0,EWR_Terminal_A
149131,0,EWR_Terminal_A
149132,4,LGA_Terminal_C
149133,0,EWR_Terminal_A
149134,4,LGA_Terminal_C
149135,4,LGA_Terminal_C
149136,0,EWR_Terminal_A
149137,0,EWR_Terminal_A
149138,3,LGA_Terminal_B
149139,3,LGA_Terminal_B
149140,3,LGA_Terminal_B
149141,0,EWR_Terminal_A
149142,0,EWR_Terminal_A
149143,3,LGA_Terminal_B
149144,3,LGA_Terminal_B
149145,3,LGA_Terminal_B
149146,0,EWR_Terminal_A
149147,0,EWR_Terminal_A
149148,3,LGA_Terminal_B
149149,4,LGA_Terminal_C
149150,0,EWR_Terminal_A
149151,3,LGA_Terminal_B
149152,3,LGA_Terminal_B
149153,3,LGA_Terminal_B
149154,3,LGA_Terminal_B
149155,4,LGA_Terminal_C
149156,3,LGA_Terminal_B
149157,3,LGA_Terminal_B
149158,0,EWR_Terminal_A
149159,3,LGA_Terminal_B
149160,4,LGA_Terminal_C
149161,0,EWR_Terminal_A
149162,0,EWR_Terminal_A
149163,3,LGA_Terminal_B
149164,0,EWR_Terminal_A
149165,3,LGA_Terminal_B
149166,4,LGA_Terminal_C
149167,0,EWR_Terminal_A
149168,3,LGA_Terminal_B
149169,0,EWR_Terminal_A
149170,3,LGA_Terminal_B
149171,3,LGA_Terminal_B
149172,0,EWR_Terminal_A
149173,0,EWR_Terminal_A
149174,3,LGA_Terminal_B
149175,3,LGA_Terminal_B
149176,4,LGA_Terminal_C
149177,4,LGA_Terminal_C
149178,0,EWR_Terminal_A
149179,0,EWR_Terminal_A
149180,3,LGA_Terminal_B
149181,0,EWR_Terminal_A
149182,0,EWR_Terminal_A
149183,3,LGA_Terminal_B
149184,3,LGA_Terminal_B
149185,3,LGA_Terminal_B
149186,0,EWR_Terminal_A
149187,0,EWR_Terminal_A
149188,3,LGA_Terminal_B
149189,0,EWR_Terminal_A
149190,0,EWR_Terminal_A
149191,0,EWR_Terminal_A
149192,3,LGA_Terminal_B
149193,3,LGA_Terminal_B
149194,0,EWR_Terminal_A
149195,3,LGA_Terminal_B
149196,0,EWR_Terminal_A
149197,4,LGA_Terminal_C
149198,0,EWR_Terminal_A
149199,0,EWR_Terminal_A
149200,0,EWR_Terminal_A
149201,3,LGA_Terminal_B
149202,3,LGA_Terminal_B
149203,3,LGA_Terminal_B
149204,3,LGA_Terminal_B
149205,0,EWR_Terminal_A
149206,0,EWR_Terminal_A
149207,0,EWR_Terminal_A
149208,3,LGA_Terminal_B
149209,3,LGA_Terminal_B
149210,3,LGA_Terminal_B
149211,3,LGA_Terminal_B
149212,4,LGA_Terminal_C
149213,0,EWR_Terminal_A
149214,3,LGA_Terminal_B
149215,0,EWR_Terminal_A
149216,0,EWR_Terminal_A
149217,3,LGA_Terminal_B
149218,3,LGA_Terminal_B
149219,4,LGA_Terminal_C
149220,4,LGA_Terminal_C
149221,4,LGA_Terminal_C
149222,0,EWR_Terminal_A
149223,3,LGA_Terminal_B
149224,0,EWR_Terminal_A
149225,0,EWR_Terminal_A
149226,3,LGA_Terminal_B
149227,3,LGA_Terminal_B
149228,4,LGA_Terminal_C
149229,3,LGA_Terminal_B
149230,3,LGA_Terminal_B
149231,4,LGA_Terminal_C
149232,3,LGA_Terminal_B
149233,3,LGA_Terminal_B
149234,0,EWR_Terminal_A
149235,0,EWR_Terminal_A
149236,3,LGA_Terminal_B
149237,3,LGA_Terminal_B
149238,4,LGA_Terminal_C
149239,3,LGA_Terminal_B
149240,0,EWR_Terminal_A
149241,4,LGA_Terminal_C
149242,0,EWR_Terminal_A
149243,3,LGA_Terminal_B
149244,3,LGA_Terminal_B
149245,0,EWR_Terminal_A
149246,4,LGA_Terminal_C
149247,0,EWR_Terminal_A
149248,0,EWR_Terminal_A
149249,3,LGA_Terminal_B
149250,3,LGA_Terminal_B
149251,0,EWR_Terminal_A
149252,3,LGA_Terminal_B
149253,3,LGA_Terminal_B
149254,0,EWR_Terminal_A
149255,3,LGA_Terminal_B
149256,4,LGA_Terminal_C
149257,3,LGA_Terminal_B
149258,4,LGA_Terminal_C
149259,0,EWR_Terminal_A
149260,3,LGA_Terminal_B
149261,0,EWR_Terminal_A
149262,3,LGA_Terminal_B
149263,0,EWR_Terminal_A
149264,3,LGA_Terminal_B
149265,4,LGA_Terminal_C
149266,3,LGA_Terminal_B
149267,3,LGA_Terminal_B
149268,3,LGA_Terminal_B
149269,0,EWR_Terminal_A
149270,3,LGA_Terminal_B
149271,0,EWR_Terminal_A
149272,0,EWR_Terminal_A
149273,3,LGA_Terminal_B
149274,3,LGA_Terminal_B
149275,4,LGA_Terminal_C
149276,0,EWR_Terminal_A
149277,0,EWR_Terminal_A
149278,3,LGA_Terminal_B
149279,3,LGA_Terminal_B
149280,0,EWR_Terminal_A
149281,0,EWR_Terminal_A
149282,0,EWR_Terminal_A
149283,0,EWR_Terminal_A
149284,3,LGA_Terminal_B
149285,4,LGA_Terminal_C
149286,3,LGA_Terminal_B
149287,3,LGA_Terminal_B
149288,3,LGA_Terminal_B
149289,3,LGA_Terminal_B
149290,4,LGA_Terminal_C
149291,4,LGA_Terminal_C
149292,0,EWR_Terminal_A
149293,3,LGA_Terminal_B
149294,0,EWR_Terminal_A
149295,3,LGA_Terminal_B
149296,3,LGA_Terminal_B
149297,3,LGA_Terminal_B
149298,3,LGA_Terminal_B
149299,3,LGA_Terminal_B
149300,3,LGA_Terminal_B
149301,4,LGA_Terminal_C
149302,0,EWR_Terminal_A
149303,0,EWR_Terminal_A
149304,3,LGA_Terminal_B
149305,0,EWR_Terminal_A
149306,3,LGA_Terminal_B
149307,3,LGA_Terminal_B
149308,3,LGA_Terminal_B
149309,3,LGA_Terminal_B
149310,0,EWR_Terminal_A
149311,0,EWR_Terminal_A
149312,0,EWR_Terminal_A
149313,0,EWR_Terminal_A
149314,0,EWR_Terminal_A
149315,0,EWR_Terminal_A
149316,4,LGA_Terminal_C
149317,0,EWR_Terminal_A
149318,3,LGA_Terminal_B
149319,0,EWR_Terminal_A
149320,3,LGA_Terminal_B
149321,3,LGA_Terminal_B
149322,0,EWR_Terminal_A
149323,3,LGA_Terminal_B
149324,3,LGA_Terminal_B
149325,3,LGA_Terminal_B
149326,3,LGA_Terminal_B
149327,0,EWR_Terminal_A
149328,0,EWR_Terminal_A
149329,3,LGA_Terminal_B
149330,0,EWR_Terminal_A
149331,3,LGA_Terminal_B
149332,3,LGA_Terminal_B
149333,0,EWR_Terminal_A
149334,4,LGA_Terminal_C
149335,4,LGA_Terminal_C
149336,0,EWR_Terminal_A
149337,0,EWR_Terminal_A
149338,0,EWR_Terminal_A
149339,3,LGA_Terminal_B
149340,3,LGA_Terminal_B
149341,3,LGA_Terminal_B
149342,3,LGA_Terminal_B
149343,0,EWR_Terminal_A
149344,3,LGA_Terminal_B
149345,3,LGA_Terminal_B
149346,0,EWR_Terminal_A
149347,3,LGA_Terminal_B
149348,3,LGA_Terminal_B
149349,4,LGA_Terminal_C
149350,0,EWR_Terminal_A
149351,3,LGA_Terminal_B
149352,4,LGA_Terminal_C
149353,4,LGA_Terminal_C
149354,3,LGA_Terminal_B
149355,3,LGA_Terminal_B
149356,3,LGA_Terminal_B
149357,3,LGA_Terminal_B
149358,4,LGA_Terminal_C
149359,0,EWR_Terminal_A
149360,3,LGA_Terminal_B
149361,3,LGA_Terminal_B
149362,3,LGA_Terminal_B
149363,3,LGA_Terminal_B
149364,0,EWR_Terminal_A
149365,0,EWR_Terminal_A
149366,4,LGA_Terminal_C
149367,0,EWR_Terminal_A
149368,0,EWR_Terminal_A
149369,0,EWR_Terminal_A
149370,3,LGA_Terminal_B
149371,0,EWR_Terminal_A
149372,0,EWR_Terminal_A
149373,3,LGA_Terminal_B
149374,0,EWR_Terminal_A
149375,3,LGA_Terminal_B
149376,3,LGA_Terminal_B
149377,0,EWR_Terminal_A
149378,0,EWR_Terminal_A
149379,3,LGA_Terminal_B
149380,0,EWR_Terminal_A
149381,3,LGA_Terminal_B
149382,3,LGA_Terminal_B
149383,3,LGA_Terminal_B
149384,0,EWR_Terminal_A
149385,3,LGA_Terminal_B
149386,3,LGA_Terminal_B
149387,0,EWR_Terminal_A
149388,0,EWR_Terminal_A
149389,0,EWR_Terminal_A
149390,0,EWR_Terminal_A
149391,3,LGA_Terminal_B
149392,0,EWR_Terminal_A
149393,4,LGA_Terminal_C
149394,3,LGA_Terminal_B
149395,3,LGA_Terminal_B
149396,0,EWR_Terminal_A
149397,3,LGA_Terminal_B
149398,0,EWR_Terminal_A
149399,3,LGA_Terminal_B
149400,3,LGA_Terminal_B
149401,4,LGA_Terminal_C
149402,4,LGA_Terminal_C
149403,0,EWR_Terminal_A
149404,3,LGA_Terminal_B
149405,3,LGA_Terminal_B
149406,3,LGA_Terminal_B
149407,0,EWR_Terminal_A
149408,0,EWR_Terminal_A
149409,3,LGA_Terminal_B
149410,3,LGA_Terminal_B
149411,3,LGA_Terminal_B
149412,3,LGA_Terminal_B
149413,3,LGA_Terminal_B
149414,0,EWR_Terminal_A
149415,3,LGA_Terminal_B
149416,3,LGA_Terminal_B
149417,3,LGA_Terminal_B
149418,4,LGA_Terminal_C
149419,3,LGA_Terminal_B
149420,3,LGA_Terminal_B
149421,0,EWR_Terminal_A
149422,4,LGA_Terminal_C
149423,3,LGA_Terminal_B
149424,0,EWR_Terminal_A
149425,0,EWR_Terminal_A
149426,0,EWR_Terminal_A
149427,3,LGA_Terminal_B
149428,3,LGA_Terminal_B
149429,0,EWR_Terminal_A
149430,3,LGA_Terminal_B
149431,0,EWR_Terminal_A
149432,3,LGA_Terminal_B
149433,3,LGA_Terminal_B
149434,3,LGA_Terminal_B
149435,0,EWR_Terminal_A
149436,0,EWR_Terminal_A
